        FltTime          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL
#              s             mB             ?C              %            m/s              ?              m
#---------------------------------------------------------------------------------------------------------
          282,0         824,79          +5,49          82,52           16,5            326         1169,1
          283,0         824,36          +5,45          82,75           16,5            326         1173,5
          284,0         823,92          +5,40          83,02           16,5            326         1177,8
          285,0         823,49          +5,36          83,08           16,5            326         1182,1
          286,0         823,05          +5,33          83,36           16,5            326         1186,5
          287,0         822,61          +5,29          83,72           16,5            326         1190,8
          288,0         822,18          +5,24          83,96           16,6            327         1195,1
          289,0         821,75          +5,20          84,21           16,7            326         1199,4
          290,0         821,31          +5,16          84,38           16,8            326         1203,7
          291,0         820,88          +5,11          84,44           16,9            326         1208,0
          292,0         820,45          +5,09          84,39           16,8            325         1212,3
          293,0         820,02          +5,08          84,20           16,7            325         1216,6
          294,0         819,59          +5,06          84,28           16,5            325         1220,9
          295,0         819,17          +5,01          84,48           16,4            325         1225,1
          296,0         818,74          +4,96          84,73           16,3            326         1229,3
          297,0         818,32          +4,92          85,04           16,3            326         1233,6
          298,0         817,90          +4,88          85,13           16,3            326         1237,8
          299,0         817,47          +4,84          85,22           16,3            326         1242,0
          300,0         817,05          +4,79          85,50           16,3            326         1246,2
          301,0         816,62          +4,79          85,39           16,2            326         1250,5
          302,0         816,20          +4,77          85,36           16,2            327         1254,8
          303,0         815,77          +4,75          85,09           16,3            326         1259,0
          304,0         815,35          +4,73          85,01           16,3            326         1263,3
          305,0         814,92          +4,70          85,25           16,3            326         1267,5
          306,0         814,49          +4,66          85,32           16,2            326         1271,8
          307,0         814,06          +4,62          85,56           16,1            326         1276,2
          308,0         813,62          +4,60          85,68           16,0            326         1280,5
          309,0         813,19          +4,57          85,71           16,0            327         1284,9
          310,0         812,76          +4,54          85,71           16,0            327         1289,2
          311,0         812,33          +4,52          86,04           16,1            327         1293,5
          312,0         811,89          +4,48          85,84           16,2            327         1297,9
          313,0         811,46          +4,48          85,83           16,2            327         1302,2
          314,0         811,03          +4,46          86,03           16,2            326         1306,6
          315,0         810,60          +4,45          85,74           16,1            326         1310,9
          316,0         810,17          +4,42          85,93           16,1            326         1315,3
          317,0         809,73          +4,40          85,87           16,0            326         1319,6
          318,0         809,30          +4,40          86,10           16,0            326         1323,9
          319,0         808,87          +4,39          86,07           16,0            326         1328,3
          320,0         808,44          +4,36          86,18           15,9            326         1332,6
          321,0         808,01          +4,32          86,59           15,9            326         1337,0
          322,0         807,58          +4,27          86,49           15,8            326         1341,3
          323,0         807,15          +4,23          86,84           15,8            327         1345,7
          324,0         806,72          +4,19          86,89           15,9            327         1350,0
          325,0         806,28          +4,16          86,95           15,9            327         1354,4
          326,0         805,85          +4,13          87,34           16,0            326         1358,8
          327,0         805,42          +4,09          87,46           16,0            326         1363,2
          328,0         804,98          +4,03          87,68           15,9            326         1367,6
          329,0         804,54          +4,01          87,85           15,8            325         1372,0
          330,0         804,11          +3,95          87,98           15,7            325         1376,4
          331,0         803,67          +3,93          88,18           15,6            326         1380,8
          332,0         803,24          +3,90          88,30           15,6            326         1385,2
          333,0         802,80          +3,87          88,39           15,6            326         1389,6
          334,0         802,37          +3,85          88,48           15,6            326         1394,0
          335,0         801,93          +3,83          88,51           15,7            326         1398,4
          336,0         801,49          +3,81          88,12           15,7            326         1402,9
          337,0         801,05          +3,77          88,32           15,7            326         1407,4
          338,0         800,61          +3,74          88,31           15,7            326         1411,9
          339,0         800,15          +3,69          88,66           15,7            326         1416,5
          340,0         799,70          +3,64          89,06           15,7            327         1421,1
          341,0         799,24          +3,60          89,28           15,8            327         1425,8
          342,0         798,78          +3,58          89,66           15,9            327         1430,5
          343,0         798,30          +3,51          89,79           15,9            328         1435,3
          344,0         797,83          +3,44          90,53           15,8            328         1440,2
          345,0         797,34          +3,40          90,43           15,7            328         1445,1
          346,0         796,86          +3,38          90,39           15,5            329         1450,1
          347,0         796,37          +3,35          90,56           15,5            329         1455,0
          348,0         795,88          +3,32          90,77           15,5            329         1460,1
          349,0         795,38          +3,29          90,69           15,5            329         1465,1
          350,0         794,89          +3,25          90,78           15,5            329         1470,1
          351,0         794,40          +3,21          91,01           15,5            329         1475,2
          352,0         793,90          +3,16          91,32           15,5            329         1480,2
          353,0         793,41          +3,10          91,60           15,4            330         1485,3
          354,0         792,91          +3,05          91,86           15,3            330         1490,4
          355,0         792,41          +3,01          92,00           15,2            331         1495,5
          356,0         791,90          +2,97          91,72           15,1            332         1500,6
          357,0         791,39          +2,96          91,94           15,1            332         1505,9
          358,0         790,88          +2,93          91,97           15,2            332         1511,1
          359,0         790,37          +2,90          92,01           15,2            333         1516,4
          360,0         789,85          +2,87          92,40           15,3            333         1521,7
          361,0         789,34          +2,84          92,74           15,3            333         1527,0
          362,0         788,82          +2,82          93,33           15,2            333         1532,3
          363,0         788,30          +2,79          93,94           15,2            333         1537,6
          364,0         787,78          +2,74          94,30           15,1            334         1543,0
          365,0         787,26          +2,73          94,12           15,2            334         1548,3
          366,0         786,74          +2,69          94,06           15,2            335         1553,7
          367,0         786,22          +2,67          94,88           15,3            336         1559,0
          368,0         785,70          +2,64          95,92           15,3            337         1564,4
          369,0         785,18          +2,61          95,99           15,3            337         1569,8
          370,0         784,65          +2,58          95,88           15,3            337         1575,2
          371,0         784,13          +2,55          95,38           15,3            337         1580,6
          372,0         783,60          +2,52          95,20           15,3            337         1586,1
          373,0         783,06          +2,50          95,58           15,4            337         1591,6
          374,0         782,52          +2,46          96,31           15,5            338         1597,2
          375,0         781,99          +2,43          96,72           15,6            338         1602,7
          376,0         781,45          +2,40          96,41           15,7            338         1608,3
          377,0         780,91          +2,35          96,06           15,7            339         1613,9
          378,0         780,37          +2,30          96,04           15,7            339         1619,5
          379,0         779,82          +2,25          96,46           15,6            339         1625,2
          380,0         779,27          +2,22          96,72           15,6            340         1630,9
          381,0         778,72          +2,18          96,17           15,6            340         1636,6
          382,0         778,17          +2,13          95,80           15,6            339         1642,4
          383,0         777,60          +2,10          95,54           15,7            340         1648,2
          384,0         777,03          +2,06          95,43           15,7            340         1654,2
          385,0         776,45          +2,03          95,33           15,7            340         1660,2
          386,0         775,87          +2,00          95,43           15,8            340         1666,3
          387,0         775,28          +1,94          95,76           15,9            340         1672,4
          388,0         774,69          +1,89          96,26           15,9            341         1678,6
          389,0         774,09          +1,86          95,89           16,0            341         1684,8
          390,0         773,49          +1,82          96,03           16,1            341         1691,0
          391,0         772,89          +1,79          96,24           16,2            341         1697,3
          392,0         772,29          +1,76          97,13           16,2            341         1703,6
          393,0         771,69          +1,72          97,11           16,2            341         1709,8
          394,0         771,09          +1,69          96,83           16,3            341         1716,1
          395,0         770,49          +1,65          97,00           16,4            341         1722,4
          396,0         769,89          +1,61          97,69           16,5            341         1728,7
          397,0         769,29          +1,56          98,50           16,6            342         1735,0
          398,0         768,70          +1,53          98,24           16,7            342         1741,2
          399,0         768,10          +1,49          97,90           16,8            342         1747,5
          400,0         767,50          +1,46          98,03           16,8            342         1753,8
          401,0         766,90          +1,42          98,24           16,9            342         1760,1
          402,0         766,31          +1,37          97,98           17,0            342         1766,4
          403,0         765,71          +1,33          97,52           17,1            343         1772,6
          404,0         765,12          +1,30          97,82           17,2            343         1778,9
          405,0         764,53          +1,26          98,97           17,3            343         1785,1
          406,0         763,94          +1,22          99,29           17,3            343         1791,3
          407,0         763,36          +1,17          99,34           17,4            343         1797,4
          408,0         762,79          +1,11          99,48           17,5            343         1803,4
          409,0         762,22          +1,08          99,41           17,6            343         1809,4
          410,0         761,66          +1,07          99,20           17,7            344         1815,3
          411,0         761,11          +1,03          99,82           17,8            344         1821,2
          412,0         760,57          +0,98         100,00           17,9            344         1826,9
          413,0         760,04          +0,94          99,97           18,0            344         1832,5
          414,0         759,52          +0,89          99,89           18,0            344         1838,0
          415,0         759,01          +0,87          99,81           18,0            344         1843,4
          416,0         758,50          +0,81          99,63           18,0            344         1848,8
          417,0         758,01          +0,75          99,58           18,0            344         1854,0
          418,0         757,51          +0,72          99,60           18,0            345         1859,3
          419,0         757,02          +0,68          99,46           18,0            345         1864,5
          420,0         756,54          +0,64          99,86           18,0            345         1869,7
          421,0         756,05          +0,62          99,91           18,0            346         1874,8
          422,0         755,56          +0,55          99,71           18,0            346         1880,0
          423,0         755,08          +0,53          99,52           17,9            346         1885,2
          424,0         754,59          +0,53          99,32           17,9            345         1890,3
          425,0         754,11          +0,48          99,56           18,0            345         1895,5
          426,0         753,63          +0,34          99,77           18,1            344         1900,6
          427,0         753,15          +0,28          99,56           18,1            344         1905,7
          428,0         752,67          +0,24          99,32           18,2            344         1910,8
          429,0         752,19          +0,19          99,02           18,2            344         1916,0
          430,0         751,70          +0,15          99,35           18,1            344         1921,1
          431,0         751,22          +0,11          99,11           18,0            344         1926,3
          432,0         750,74          +0,08          98,67           18,0            344         1931,5
          433,0         750,26          +0,05          99,15           17,9            344         1936,6
          434,0         749,78          +0,02          98,85           17,9            344         1941,7
          435,0         749,29          -0,01          97,97           17,9            344         1946,9
          436,0         748,80          -0,05          98,13           18,0            344         1952,1
          437,0         748,30          -0,10          97,87           18,1            344         1957,5
          438,0         747,80          -0,13          98,06           18,1            343         1962,9
          439,0         747,29          -0,15          98,70           18,2            343         1968,3
          440,0         746,78          -0,16          98,60           18,2            343         1973,9
          441,0         746,26          -0,17          97,82           18,2            343         1979,4
          442,0         745,74          -0,19          97,93           18,2            342         1985,0
          443,0         745,22          -0,21          98,19           18,2            342         1990,6
          444,0         744,69          -0,24          98,28           18,1            341         1996,3
          445,0         744,16          -0,27          97,78           18,1            341         2002,0
          446,0         743,63          -0,31          97,49           18,1            341         2007,7
          447,0         743,09          -0,34          98,63           18,1            340         2013,5
          448,0         742,56          -0,37          98,50           18,1            340         2019,2
          449,0         742,03          -0,42          97,53           18,2            339         2025,0
          450,0         741,50          -0,47          97,22           18,3            339         2030,7
          451,0         740,96          -0,51          97,55           18,3            339         2036,4
          452,0         740,43          -0,54          98,46           18,4            339         2042,2
          453,0         739,90          -0,57          98,28           18,5            339         2048,0
          454,0         739,37          -0,60          98,14           18,6            339         2053,7
          455,0         738,85          -0,61          98,27           18,6            339         2059,3
          456,0         738,33          -0,63          98,42           18,7            339         2064,9
          457,0         737,82          -0,67          98,34           18,8            339         2070,5
          458,0         737,30          -0,72          98,09           19,0            339         2076,1
          459,0         736,78          -0,78          98,20           19,1            338         2081,7
          460,0         736,27          -0,80          98,29           19,3            338         2087,3
          461,0         735,77          -0,81          97,80           19,4            338         2092,8
          462,0         735,27          -0,82          98,09           19,5            338         2098,2
          463,0         734,77          -0,82          98,21           19,6            339         2103,6
          464,0         734,28          -0,81          98,09           19,7            339         2108,9
          465,0         733,79          -0,84          98,25           19,8            339         2114,3
          466,0         733,30          -0,89          98,12           19,9            339         2119,6
          467,0         732,81          -0,93          98,27           19,9            340         2125,0
          468,0         732,31          -0,96          98,19           19,9            340         2130,4
          469,0         731,82          -0,97          98,06           19,9            340         2135,8
          470,0         731,33          -1,00          98,00           19,8            340         2141,2
          471,0         730,83          -1,06          97,58           19,8            340         2146,6
          472,0         730,32          -1,08          97,58           19,8            340         2152,1
          473,0         729,81          -1,10          97,65           19,8            340         2157,7
